name,position,is_gk,ca,attribute,actual,estimated,delta
Efe Doğan,GK,1,55,Tackling,1,1,0
Efe Doğan,GK,1,55,Shooting,3,3,0
Efe Doğan,GK,1,55,Aerial,11,11,0
Efe Doğan,GK,1,55,Passing,1,1,0
Efe Doğan,GK,1,55,Decisions,11,11,0
Efe Doğan,GK,1,55,Creativity,3,3,0
Efe Doğan,GK,1,55,Movement,1,2,1
Efe Doğan,GK,1,55,Positioning,4,5,1
Efe Doğan,GK,1,55,Handling,11,11,0
Efe Doğan,GK,1,55,Kicking,8,8,0
Efe Doğan,GK,1,55,Reflexes,11,12,1
Efe Doğan,GK,1,55,Communication,2,4,2
Efe Doğan,GK,1,55,Throwing,5,7,2
