tid,name,club,GK,CA,PA,rep,positions,Aerial,Crossing,Dribbling,Shooting,Passing,Tackling,Technique,Aggression,Creativity,Decisions,Leadership,Movement,Positioning,Teamwork,Pace,Stamina,Strength,Agility,Handling,Kicking,Reflexes,Communication,Throwing
20546,#20546,Kırklarelispor,,85,115,4143,ST/AMC,12,4,7,10,9,5,14,12,8,11,6,12,10,9,10,10,12,12,3,2,1,2,2
20560,#20560,Karacabey Belediye Spor A.Ş.,,85,95,3629,MC/AMC/DMC/ML/MR,8,10,11,9,11,7,14,4,12,9,7,10,3,9,9,5,5,13,1,1,1,1,1
20779,#20779,Nazilli Belediyespor,,85,90,4381,AMR/AML/ML/MR/ST,10,10,14,9,7,4,14,5,11,11,4,11,6,9,11,8,9,11,2,3,1,1,1
20802,#20802,Isparta 32 Spor,,85,100,3520,DL/DC/DR,10,5,5,3,6,10,5,15,6,15,8,6,15,8,12,13,10,13,2,2,1,2,2
20803,#20803,Zonguldak Kömürspor,,85,95,4611,ML/AML/DL/MR/AMR/DML/DR/ST/AMC,8,9,13,9,9,5,12,10,10,7,6,11,4,12,14,11,10,13,2,3,1,1,1
20837,#20837,Tarsus İdman Yurdu,,85,100,3700,DL/ML/DML,5,8,8,8,9,10,10,11,7,9,10,8,11,13,11,12,9,12,2,2,1,2,1
20840,#20840,Kırşehir Belediye Spor,,85,95,1699,DC/DMC/DR,12,4,6,5,8,12,8,17,4,12,8,6,14,12,12,10,12,11,1,1,1,1,2
20843,#20843,24Erzincanspor,,85,95,4200,DC/DR/DMC/DL/MC/DML/DMR/MR/ML/AML/AMR,11,6,8,7,9,10,9,13,8,10,11,7,10,10,10,10,12,10,1,1,1,2,1
20951,#20951,Pazarspor,,85,100,3642,ST,15,2,5,9,7,3,9,14,5,11,6,12,7,13,12,8,14,9,2,1,2,1,2
21013,#21013,Pendikspor Futbol A.Ş.,,85,95,3911,DL/DMC/ML/DC/MC,7,9,8,6,6,12,9,7,5,14,5,7,13,8,13,13,6,13,2,1,1,2,1
21052,#21052,24Erzincanspor,,85,130,3837,AMR/AMC/MC/MR/AML/ML,5,13,12,8,12,4,14,7,10,10,7,9,6,9,10,9,8,13,3,2,2,2,1
21096,#21096,Pazarspor,,85,90,1698,ML/MR/AML/AMR,9,13,11,5,10,6,11,10,9,12,10,9,5,10,14,14,8,14,1,1,1,2,1
21198,#21198,Eskişehirspor,,85,90,4277,DC,12,6,6,4,8,10,8,12,8,11,12,8,8,11,10,12,12,9,2,1,1,1,1
21199,#21199,1922 Konyaspor,,85,105,1703,AMR/ST/AML,11,8,7,11,8,7,9,14,8,7,8,11,9,13,13,12,13,11,2,2,1,2,3
21213,#21213,24Erzincanspor,,85,110,4683,AML/AMR/ST,8,11,12,11,10,4,13,12,11,10,11,11,9,11,11,10,8,12,1,2,1,2,1
21245,#21245,Amed Sportif Faaliyetler,,85,100,4590,DL/ML/DML/DR/MR,6,11,11,5,9,10,11,10,8,9,5,11,7,12,13,12,6,14,1,3,3,3,2
21247,#21247,1922 Konyaspor,Y,85,85,3399,GK,10,1,1,3,12,2,1,7,6,12,3,1,7,7,11,5,5,6,9,13,13,5,9
21272,#21272,1922 Konyaspor,,85,110,4361,ST,14,6,8,15,9,5,11,10,6,9,6,9,5,11,10,8,14,11,1,2,1,1,1
21290,#21290,Zonguldak Kömürspor,,85,95,3761,MC/DMC/AMC,4,9,11,7,12,6,14,9,10,11,8,11,7,11,10,10,4,13,2,1,2,1,1
21306,#21306,Kırşehir Belediye Spor,,85,100,4072,DR/ML/DL/MR/AML/AMR,6,11,10,7,9,10,13,10,7,10,6,10,5,12,12,10,5,15,1,1,1,2,1
21357,#21357,Kırklarelispor,,85,115,4628,DL/DML/ML/AML,6,9,9,5,9,9,8,8,10,11,9,6,10,12,13,11,8,13,3,2,1,3,1
21365,#21365,24Erzincanspor,,85,105,4302,DC/DR/DMC/DL,11,4,4,4,5,12,7,17,5,12,12,11,13,12,11,10,12,9,2,1,1,2,1
21367,#21367,Tarsus İdman Yurdu,,85,90,3787,DL,7,6,9,5,8,11,9,14,8,13,9,5,8,13,12,15,8,13,1,1,1,1,1
21410,#21410,Uşak Spor A.Ş.,,85,90,4620,DC,12,4,5,7,6,14,7,16,4,11,8,4,14,10,8,8,12,10,1,2,1,1,1
21441,#21441,Kırşehir Belediye Spor,,85,90,4064,DL/DC/DML/DR,12,11,9,6,9,11,9,12,7,9,7,7,8,11,12,12,13,11,1,2,1,2,2
21563,#21563,Şanlıurfaspor,,85,105,4345,DMC/MC/DC/DL/DR,10,6,9,6,11,9,12,10,9,10,10,12,11,12,11,11,10,12,1,2,1,2,1
21609,#21609,Karacabey Belediye Spor A.Ş.,,85,104,4127,AMR/AML/ML/MR,6,11,14,6,9,4,10,8,10,9,9,15,7,9,14,8,5,13,2,2,2,1,2
21630,#21630,Ankara Demirspor,,85,100,3886,DC,14,4,5,6,7,11,8,12,6,9,6,11,11,12,11,11,12,12,1,1,1,2,2
21649,#21649,24Erzincanspor,,85,95,4290,DR/DMR/DL/MR,10,10,8,4,8,11,11,12,6,10,6,10,9,13,12,12,11,12,1,1,1,2,2
21724,#21724,Akhisarspor,,85,96,4413,MC/DMC/AMC/DR,9,7,9,9,11,8,12,10,9,12,14,11,6,14,9,9,9,11,2,2,1,1,3
21764,#21764,Nazilli Belediyespor,,85,100,3751,AML/AMR/ML/MR/AMC,4,10,14,10,9,4,15,5,11,9,4,12,4,8,10,8,2,16,1,1,3,1,2
21840,#21840,Pazarspor,,85,95,4031,DMC/MC,6,7,5,7,11,12,11,11,9,10,13,8,11,10,14,7,10,14,1,3,1,1,1
21853,#21853,Akhisarspor,Y,85,93,3829,GK,12,2,2,3,12,1,6,7,6,13,6,5,10,7,11,10,9,8,12,8,13,6,9
21907,#21907,Karacabey Belediye Spor A.Ş.,,85,110,4326,DC,11,4,7,5,10,10,10,11,8,10,7,6,10,12,10,11,11,12,1,1,1,3,1
21913,#21913,24Erzincanspor,,85,110,4448,DC,14,4,4,5,6,13,8,10,6,11,7,8,12,12,8,11,13,9,1,2,2,3,2
21941,#21941,1922 Konyaspor,,85,96,4378,DR,10,10,9,5,6,9,6,15,4,15,4,5,13,8,14,8,8,13,2,3,1,2,3
21992,#21992,Pendikspor Futbol A.Ş.,,85,103,3517,MC/DMC,6,6,10,8,10,7,12,10,10,10,6,11,9,12,10,12,7,13,1,1,1,1,1
22006,#22006,Uşak Spor A.Ş. Reserves,,85,100,3865,MC/AMC,8,7,10,8,9,6,11,12,11,10,5,14,9,8,15,3,11,12,2,1,2,1,1
22101,#22101,Eskişehirspor,,85,90,2905,DMC/MC,12,4,8,7,12,11,10,6,7,13,7,7,7,9,13,11,5,13,1,1,1,1,1
22157,#22157,Uşak Spor A.Ş.,,85,100,4223,DC,12,4,5,5,10,12,8,12,8,10,11,6,11,11,10,14,13,9,1,1,2,2,3
22220,#22220,Şanlıurfaspor,,85,117,3711,MR/AMR/DR/DMC,5,9,7,7,13,9,15,8,7,10,13,12,8,8,14,14,5,14,2,3,1,3,1
22246,#22246,24Erzincanspor,,85,111,4429,AML/AMR/ML/MR/AMC/MC,6,9,13,9,9,4,13,10,10,8,5,11,6,12,12,9,9,14,2,2,1,2,3
22533,#22533,Nazilli Belediyespor,,85,86,4284,DC/DMC,10,4,4,4,6,15,5,9,4,15,11,4,15,5,9,9,12,11,1,3,3,2,3
22544,#22544,Amed Sportif Faaliyetler,,85,105,3772,MC/DMC,7,6,10,7,11,7,13,12,11,12,7,9,10,13,10,12,9,12,1,3,2,2,1
22570,#22570,Kırşehir Belediye Spor,,85,115,3817,DC/DR/DMR,12,7,6,5,8,10,8,12,7,10,9,8,13,11,11,12,11,10,4,2,1,3,1
22653,#22653,Altay,,85,123,4466,ST/AML/AMR,9,8,8,10,13,6,10,15,6,8,1,9,7,8,14,7,7,13,2,1,2,3,2
22726,#22726,Ankara Demirspor Reserves,Y,85,106,3503,GK,12,1,1,3,9,1,4,6,6,13,2,1,9,7,9,5,6,9,14,11,14,9,8
24505,#24505,Kırşehir Belediye Spor,,85,100,4458,MC/DMC/AMC/ML/MR/AML/AMR,8,11,9,9,12,8,12,12,9,10,11,10,5,11,8,8,7,8,2,1,1,1,3
24552,#24552,Uşak Spor A.Ş.,,85,110,4592,DC/DL,13,9,7,6,9,9,10,11,8,8,9,6,9,11,10,12,12,10,1,1,2,3,1
24745,#24745,Uşak Spor A.Ş.,,85,95,3902,AMR/AML/ST,9,8,9,11,11,4,11,6,8,9,8,10,6,10,12,10,11,11,1,1,1,2,1
26801,#26801,Uşak Spor A.Ş.,,85,106,4601,MC/AMC/MR/AMR/ML/AML/ST,5,12,13,7,9,4,13,9,10,10,7,8,9,8,10,10,10,8,1,1,3,1,1
28144,#28144,Kırklarelispor,Y,85,116,4162,GK,6,1,1,1,10,1,2,11,4,11,1,2,7,5,11,3,5,14,13,12,10,5,7
28488,#28488,Ankara Demirspor,,85,95,4062,DC/AMC/MC,12,4,6,8,8,9,8,10,8,14,11,9,10,6,11,8,7,14,2,1,3,2,1
29370,#29370,Eskişehirspor,,85,85,3258,ST,12,6,9,11,8,4,11,15,8,11,7,10,8,9,10,6,7,10,1,1,1,1,1
30608,#30608,Akhisarspor,,85,101,4179,DR/DC/DMR,11,9,9,5,6,12,7,10,5,12,7,8,10,10,14,10,9,13,1,3,1,1,1
30640,#30640,Pendikspor Futbol A.Ş.,,85,102,4043,AMC/MC,6,5,11,7,14,7,11,6,11,10,5,13,7,13,11,9,9,10,4,2,2,1,2
30957,#30957,Amed Sportif Faaliyetler,,85,87,4685,AML/AMR/AMC,4,11,13,5,6,5,9,15,12,13,10,14,6,8,13,7,4,13,1,3,1,1,4
32632,#32632,Pendikspor Futbol A.Ş.,,85,99,3060,ST/AML/AMR,12,10,8,10,4,4,6,15,8,12,5,11,7,13,12,14,6,12,1,2,3,1,3
32643,#32643,Uşak Spor A.Ş.,,85,97,4175,MC,11,5,7,7,15,5,11,8,12,12,11,10,9,9,11,11,7,11,2,3,1,2,3
6033,#6033,Eskişehirspor,,85,94,2477,MC/AMC,5,4,9,7,14,5,13,8,13,11,13,12,6,9,14,9,7,11,1,2,2,2,2
8596,#8596,Tarsus İdman Yurdu,Y,85,100,3550,GK,14,1,2,1,5,2,5,6,6,12,11,1,7,7,11,5,7,15,5,14,13,6,8
21293,Abdullah Balıkuv,Bucaspor 1928,,85,105,4358,DL/DML/ML,9,10,7,7,9,10,11,13,5,10,6,7,12,13,11,12,10,11,3,1,1,1,1
21782,Alper Duruk,Bucaspor 1928,,85,87,3496,DR/DMR,7,9,9,6,8,9,11,10,6,11,7,7,11,11,12,11,9,10,2,1,1,2,2
22124,Cuma Menize,Bucaspor 1928,,85,94,4145,MC/AMC/AML/AMR,6,5,13,11,10,7,14,10,10,9,5,9,6,11,13,11,10,12,1,2,1,1,3
22012,Enes Alıç,Bucaspor 1928,,85,85,3020,AML/ML/AMR/DML/DL/MR,7,10,10,8,8,8,10,10,9,9,6,11,8,11,13,11,11,11,1,2,1,1,1
22907,Ercan Şirin,Bucaspor 1928,,85,102,3636,DC/DR,14,6,4,6,5,14,5,12,4,14,10,7,13,7,7,7,11,9,1,1,1,3,1
20796,Metin Yüksel,Bucaspor 1928,,85,105,3955,DMC/MC/AMC/DC,10,7,9,8,12,7,15,10,10,13,13,8,9,11,8,8,9,12,2,1,2,1,2
21143,Murat Demir,Bucaspor 1928,Y,85,95,3997,GK,11,2,1,1,5,1,2,5,6,13,12,1,8,7,8,7,6,10,14,11,13,6,4
21650,Mustafa Seyhan,Bucaspor 1928,,85,95,3685,DMC/MC/AMC,9,7,8,7,10,11,10,12,7,10,7,8,12,11,10,11,11,11,2,2,1,1,2
21378,Osman Işıklı,Bucaspor 1928,,85,100,3457,MC/AMC/ML/MR/AML/AMR,8,9,9,7,10,9,11,7,9,10,7,12,9,11,11,11,9,12,1,1,2,1,1
21905,Saruhan Fındıkcı,Bucaspor 1928,,85,100,3523,MC/AMC/AML/AMR/ML/MR,7,9,10,10,9,6,11,9,8,11,8,12,8,10,10,11,10,11,1,1,1,1,1
21809,Yusuf Yıldırım,Bucaspor 1928,,85,86,3749,AML/ML/MR/AMR,7,10,11,8,10,4,12,9,9,11,8,10,5,10,11,11,11,11,2,2,1,1,1
16197,#16197,Eskişehirspor,,84,123,4988,ST,11,7,9,12,8,7,12,16,8,11,7,12,6,9,8,8,10,10,1,1,1,2,1
22687,#22687,1922 Konyaspor,,83,83,3337,ML/MR/AML/AMR/DL,9,11,15,5,9,7,14,12,8,12,9,10,6,8,12,6,4,11,2,1,2,1,1
20974,#20974,Uşak Spor A.Ş.,Y,82,90,4388,GK,14,2,4,2,9,1,11,12,7,9,4,1,12,14,9,9,13,11,10,14,9,6,9
5079,#5079,Pendikspor Futbol A.Ş.,,82,120,4814,DR/DL/DC/DMR/DMC,10,4,4,3,11,12,9,10,5,12,13,7,16,16,8,10,10,10,2,2,1,2,2
8584,#8584,Pendikspor Futbol A.Ş.,,82,105,4116,ST,13,1,5,10,9,4,12,12,6,12,10,13,9,13,11,10,11,11,1,1,1,1,1
6067,#6067,Nazilli Belediyespor,,81,97,2655,MC/DMC,11,4,5,6,13,8,14,10,13,13,10,6,10,10,12,7,7,8,1,2,1,2,1
11151,#11151,Uşak Spor A.Ş.,,80,100,3944,AMR/AML/MR/ML/AMC/MC,6,10,11,6,10,4,12,8,9,9,5,11,5,9,9,9,3,15,1,2,1,1,3
11197,#11197,Altay,,80,120,4382,ST/AMC/AML/AMR,12,7,7,9,7,3,10,14,7,10,5,13,6,14,9,10,8,11,1,1,1,2,1
1285,#1285,Şanlıurfaspor,Y,80,115,3877,GK,12,1,1,1,8,1,8,16,1,7,12,1,7,8,8,6,10,11,12,12,11,10,10
15733,#15733,Şanlıurfaspor,,80,88,3552,DC/DR/DMC/MC/MR/DMR,7,4,4,5,9,14,7,11,6,10,7,7,14,4,12,12,8,14,1,2,1,1,3
20412,#20412,Şanlıurfaspor,,80,115,4199,DL/DC/DMC,11,12,6,7,12,10,9,15,8,8,10,7,12,10,9,8,11,10,1,1,1,2,1
20542,#20542,24Erzincanspor,,80,95,4021,DL/ML/DMC/MC/DML,6,11,7,7,11,10,9,12,8,9,5,9,8,13,12,11,13,13,1,1,1,2,2
20567,#20567,Amed Sportif Faaliyetler,,80,100,4027,AMC/MC/MR/AML/AMR/DMC,7,11,9,10,12,1,15,5,11,10,9,13,4,8,7,6,5,12,2,1,1,2,2
20605,#20605,Nazilli Belediyespor,Y,80,85,4000,GK,11,1,3,3,13,1,8,5,4,10,7,1,11,8,6,6,12,10,9,10,11,5,7
20685,#20685,Şanlıurfaspor,,80,90,3385,DL/ML/AML/AMR/DML/MR/DC,11,9,11,8,9,9,12,8,9,10,7,8,8,11,12,10,7,13,1,1,1,2,1
21021,#21021,Şanlıurfaspor,,80,105,3170,DMC/MC/DR/MR/ML,10,8,9,5,12,11,10,11,6,11,6,7,11,13,10,10,11,11,1,1,1,1,2
21032,#21032,Ankara Demirspor,,80,100,4037,MC/DMC/DL/AMC,5,11,9,7,10,6,14,6,10,10,7,10,6,11,8,7,6,13,2,2,1,1,2
21251,#21251,Amed Sportif Faaliyetler,,80,95,3546,DR/DMR/AMR,7,5,7,6,11,12,11,12,8,10,5,6,10,8,11,11,8,11,2,3,1,2,1
21297,#21297,Karacabey Belediye Spor A.Ş.,,80,85,3765,DR/DMR/MR/AMR/DC,8,11,6,4,8,11,9,5,6,12,13,7,6,8,14,13,7,14,1,3,1,2,1
21442,#21442,Isparta 32 Spor,,80,90,2339,DMC/MC/AMC,8,4,6,7,10,13,9,5,8,12,13,8,7,10,13,14,8,10,1,1,2,2,2
21444,#21444,24Erzincanspor,,80,100,4312,MC/DMC/AMC,9,6,9,6,13,7,13,12,11,9,5,9,9,13,10,12,8,11,1,1,1,1,2
21446,#21446,24Erzincanspor,,80,95,3750,MC/AML/AMC/ML/DMC,6,9,11,7,13,6,13,8,11,8,6,8,5,8,10,8,5,14,1,1,1,1,1
21452,#21452,Uşak Spor A.Ş.,,80,100,4600,AMC/MC/DMC,9,5,8,7,10,7,11,12,9,9,6,10,9,9,13,13,6,13,3,1,1,1,2
21463,#21463,Pazarspor,,80,88,3798,DL/DML/DC/MR,9,4,6,5,6,10,7,11,9,13,9,7,10,8,13,14,5,11,2,2,1,1,1
21464,#21464,Nazilli Belediyespor,,80,95,3755,AMR/AML/ST,9,9,13,9,9,4,12,10,10,10,6,12,7,11,13,11,10,12,2,1,1,1,1
21471,#21471,Ankara Demirspor,,80,110,3739,DL/DML/DR,6,9,8,5,8,9,10,15,7,9,8,8,11,13,12,12,9,14,1,2,1,3,2
21496,#21496,Kırklarelispor,,80,90,3959,AML/AMR/MR/ML,8,11,11,7,9,6,12,10,8,10,4,9,5,10,12,10,7,11,1,1,1,1,2
21596,#21596,Karacabey Belediye Spor A.Ş.,Y,80,90,3460,GK,12,2,1,2,11,3,1,6,6,12,6,2,11,7,10,4,7,7,10,11,13,6,4
21602,#21602,Kırşehir Belediye Spor,,80,100,4136,ST/AML/AMR,11,4,9,12,7,4,14,11,4,10,7,12,8,8,11,4,4,9,1,1,2,1,1
21636,#21636,Şanlıurfaspor,,80,80,3818,AML/ML/MC/AMC/DL,5,10,12,6,9,4,11,15,9,11,2,12,5,8,13,13,9,13,1,4,1,1,1
21654,#21654,Akhisarspor,,80,100,3973,MC/DL/ML,8,5,5,5,13,9,11,12,11,10,6,9,10,11,12,12,10,12,2,2,1,1,1
21716,#21716,Isparta 32 Spor,,80,81,3464,DC/DMC/DL,12,4,4,4,6,13,7,15,6,11,4,6,14,8,14,5,7,10,1,1,1,1,1
21766,#21766,Pazarspor,,80,105,4004,DC/DR/DMR,13,5,7,5,9,10,9,13,7,10,10,7,11,8,11,11,7,11,4,3,2,2,2
21770,#21770,Kırklarelispor,,80,105,4000,DR/MR/AMR,7,9,10,5,9,8,12,5,10,9,6,9,6,9,13,12,11,13,1,1,1,1,1
21780,#21780,1922 Konyaspor,,80,83,4127,DC,13,4,5,4,6,11,9,13,6,11,6,9,11,11,9,10,11,10,3,1,1,1,1
22003,#22003,Karacabey Belediye Spor A.Ş.,,80,85,3014,DMC/MC/DR/DMR,4,4,5,7,10,12,10,10,11,11,11,7,9,8,13,13,4,13,1,1,2,2,1
22079,#22079,Kırklarelispor,,80,98,3706,DMC/DC/MC,11,6,7,5,11,11,8,15,8,10,8,6,11,13,13,12,12,12,1,1,2,2,3
22080,#22080,Pazarspor,,80,88,3933,AMC/MC/ML/AML/ST,10,5,9,7,11,9,15,7,8,10,11,11,7,8,14,5,10,11,2,1,2,1,1
22090,#22090,Amed Sportif Faaliyetler,,80,98,1711,AMR/MR/AML/ML,5,9,14,9,9,5,13,8,9,8,6,10,7,9,11,10,6,14,1,1,1,1,2
22103,#22103,Eskişehirspor,,80,91,2874,DR,7,2,8,4,9,12,7,11,8,13,7,6,9,8,11,11,8,10,3,3,2,2,4
22151,#22151,24Erzincanspor,,80,80,3944,DL/ML/DML/AML,9,9,12,5,10,7,14,11,6,10,6,10,5,11,14,12,6,14,1,3,1,1,2
22202,#22202,Kırşehir Belediye Spor,,80,90,1685,DC/DR,9,7,6,3,5,12,6,6,4,13,9,4,12,7,13,12,7,13,1,1,1,1,2
22234,#22234,Akhisarspor,,80,101,3238,DMC/MC,8,6,7,6,14,9,13,8,10,10,9,6,11,10,13,11,10,13,3,2,1,1,1
22242,#22242,Kırşehir Belediye Spor,,80,107,4194,MC/DMC/AMC,8,5,6,8,11,11,8,9,11,11,12,9,8,10,8,10,5,8,3,3,1,3,2
22566,#22566,Şanlıurfaspor,,80,94,3514,MC/AMC/ML/AML,8,8,7,8,10,7,11,13,7,14,13,11,8,13,9,8,6,11,1,3,1,2,1
22591,#22591,1922 Konyaspor,,80,85,3647,DL/DML/ML,9,10,9,5,10,10,10,10,6,9,4,10,5,12,13,12,5,13,1,3,2,2,2
22711,#22711,Ankara Demirspor Reserves,,80,94,3224,MC/AMC/ML/MR,7,8,10,8,13,7,15,6,8,11,5,9,6,9,12,10,5,12,1,3,1,1,1
22763,#22763,Zonguldak Kömürspor,,80,104,3361,DC/DR,12,5,4,5,8,13,7,7,4,12,11,7,7,7,11,8,9,8,3,1,1,3,1
25374,#25374,Şanlıurfaspor,,80,86,3652,DR/DMR/MR/AMR/DMC/MC/AMC/ST,7,7,9,7,6,10,11,10,9,12,9,7,7,9,11,10,8,13,1,4,2,2,1
28536,#28536,Eskişehirspor,,80,107,4244,MC,7,4,5,9,12,5,13,9,11,12,9,12,10,12,13,8,8,12,3,3,1,1,2
29227,#29227,Uşak Spor A.Ş.,Y,80,96,3979,GK,11,1,1,4,5,3,1,10,4,12,10,1,10,4,11,2,6,13,13,8,13,4,5
29874,#29874,Amed Sportif Faaliyetler,,80,120,5041,MC/DMC,11,7,8,9,11,10,11,13,7,10,5,8,10,13,11,13,12,9,2,2,1,2,1
30960,#30960,Amed Sportif Faaliyetler,Y,80,88,3781,GK,12,3,2,3,8,3,1,5,5,13,2,2,2,5,9,6,6,9,7,9,14,4,6
32644,#32644,Zonguldak Kömürspor,,80,84,3614,AMC/AML/AMR,6,10,11,10,13,8,12,7,9,9,9,11,7,9,10,9,5,11,3,3,1,1,1
32671,#32671,Akhisarspor,Y,80,94,3171,GK,13,1,2,3,9,2,2,10,4,13,5,4,6,6,12,2,7,5,7,12,14,4,8
6002,#6002,Nazilli Belediyespor,,80,100,1732,MC/AMC/MR,8,9,9,7,8,6,10,11,9,8,5,12,11,10,11,12,9,12,3,3,1,2,1
8603,#8603,1922 Konyaspor,,80,90,1696,DC/DL/DML,11,8,4,6,8,12,9,14,8,10,12,7,9,12,9,11,10,10,1,2,1,1,2
21469,Yalçın Kaya,Bucaspor 1928,,80,83,3330,DC,14,4,4,4,5,14,5,9,4,15,13,5,13,5,12,4,11,12,3,2,4,1,1
5089,Şener Özcan,Bucaspor 1928,Y,80,100,3387,GK,11,1,1,1,10,1,9,6,4,8,10,1,8,10,6,7,6,10,11,12,12,7,10
22087,#22087,1922 Konyaspor,,79,79,1720,MC/AMC,6,6,6,10,7,6,9,7,10,12,10,13,10,7,11,12,8,13,1,2,1,2,1
22501,#22501,Karacabey Belediye Spor A.Ş.,,79,84,3792,DMC/MC,10,10,10,7,11,12,11,8,5,8,6,9,11,12,10,14,11,9,2,1,1,2,2
22637,#22637,1922 Konyaspor,,78,78,3894,DC/DR,12,4,9,5,12,8,12,6,5,9,5,4,10,10,10,12,9,8,1,1,3,2,3
30436,#30436,Bucaspor 1928,,78,90,3681,DR,6,6,8,6,9,10,6,7,5,12,10,7,8,9,12,9,7,14,2,1,3,1,3
11029,#11029,Ağrı 1970 Spor,,77,95,4000,ST,13,1,5,11,7,2,9,8,5,12,12,12,10,9,10,10,14,10,1,1,1,1,1
20484,#20484,Uşak Spor A.Ş.,,77,105,4524,MC/DMC/AMC/MR,7,8,9,7,12,9,11,10,9,12,12,10,11,12,9,11,10,10,3,1,1,1,1
20729,#20729,Akhisarspor,,77,90,4053,DC/DR,12,4,3,4,8,13,7,11,5,10,16,4,13,12,7,11,13,8,1,1,1,1,1
22255,#22255,Şanlıurfaspor,,77,77,3853,AMC/MC/ML/AMR,6,8,10,4,10,5,13,8,12,13,11,6,6,9,13,10,5,13,1,2,1,1,2
26036,#26036,Zonguldak Kömürspor,,77,90,1693,ST/AML/AMR/ML/MR,12,8,9,11,6,3,6,9,5,10,5,10,5,7,11,12,6,13,1,2,2,1,2
28775,#28775,Zonguldak Kömürspor,,77,77,3298,MC/DMC/AMC,5,7,10,7,11,6,11,11,11,14,11,9,4,12,11,6,2,10,1,3,1,1,2
5032,#5032,Altay,,77,130,4131,DC/DMC,12,1,1,2,6,11,7,12,2,11,16,3,15,14,8,7,10,8,2,1,1,2,1
5078,#5078,Tarsus İdman Yurdu,,77,110,4019,ST,11,4,7,13,5,3,11,5,3,9,8,8,8,9,10,9,11,8,3,2,1,1,1
1296,#1296,Ankara Demirspor,,75,110,3679,ST,11,5,11,11,8,3,12,5,6,10,8,12,6,6,9,6,10,11,1,1,1,1,1
20416,#20416,Kırşehir Belediye Spor,,75,80,3682,DC/DL,11,4,5,4,5,13,7,10,4,12,10,4,12,9,11,8,12,13,1,1,2,1,2
20465,#20465,Tarsus İdman Yurdu,,75,110,3214,MC/DMC,6,10,8,7,12,6,14,10,10,10,12,8,8,11,8,7,6,11,1,1,1,2,1
20574,#20574,Tarsus İdman Yurdu,,75,90,3434,AMC/AML/ML/MC/AMR/MR,9,9,10,7,12,8,14,5,12,11,12,12,9,12,9,13,8,7,1,1,2,1,1
20640,#20640,Kırklarelispor,,75,100,3706,DC,12,2,5,4,7,11,8,14,4,7,8,7,12,11,8,9,13,12,1,1,1,2,1
20770,#20770,Akhisarspor Reserves,,75,100,3584,DR/DMR/MC/MR,9,7,8,5,10,10,11,10,5,8,9,8,11,13,9,11,10,11,2,1,1,1,2
20778,#20778,Nazilli Belediyespor,,75,80,3571,DMC/MC/MR/DR/DMR/DL/ML,7,7,9,5,12,7,13,10,9,11,9,7,8,10,10,10,8,12,1,1,1,1,2
20945,#20945,Nazilli Belediyespor,,75,100,3922,DC/DR,10,7,8,4,5,10,3,12,4,9,4,7,9,11,11,8,8,12,3,1,1,2,1
20954,#20954,Pendikspor Futbol A.Ş.,,75,110,3528,MC/DMC/AMC/MR,9,10,7,6,12,10,13,12,10,10,8,9,12,10,6,6,12,11,2,1,1,1,1
21204,#21204,24Erzincanspor,,75,105,3692,DL/ML,8,8,8,4,9,8,11,12,8,10,10,8,8,12,14,11,7,14,3,1,1,1,3
21345,#21345,Kırklarelispor,,75,95,3921,ML/MC/AML/AMC/AMR/MR/DML,10,10,9,8,9,6,13,10,9,8,6,10,4,10,12,10,8,13,2,1,1,1,2
21382,#21382,Kırşehir Belediye Spor,,75,85,1640,MC,8,4,4,8,10,6,10,8,12,11,13,9,10,10,13,7,7,14,1,1,3,1,1
21449,#21449,1922 Konyaspor,,75,105,1689,AML/ML/MR/AMR/AMC,5,10,12,8,12,3,14,5,10,6,7,9,6,6,11,8,4,15,3,1,1,2,1
21500,#21500,Zonguldak Kömürspor,,75,95,1763,MC/DMC/AMC,8,11,9,6,10,6,13,10,9,9,10,11,8,11,8,9,11,11,3,1,1,2,1
21576,#21576,Pazarspor,,75,117,1692,AMC/MC,3,4,8,7,7,6,13,9,12,10,9,9,9,9,13,13,4,13,3,1,2,2,1
21606,#21606,Amed Sportif Faaliyetler,,75,85,3583,DMC/DR/AMR/MC/DL/DC,12,8,7,5,9,11,10,13,4,9,8,5,14,12,8,12,13,7,1,1,1,1,3
21635,#21635,1922 Konyaspor,,75,110,4106,AML/ML/MC/MR/AMC/AMR,5,11,12,9,11,3,15,5,9,8,7,8,6,6,9,7,7,14,3,1,1,2,1
21670,#21670,Zonguldak Kömürspor,,75,90,1687,DC,10,4,3,3,5,9,2,15,4,13,13,6,14,6,13,9,4,13,2,1,1,1,1
21772,#21772,Karacabey Belediye Spor A.Ş.,,75,82,3125,MC/AMC/ML/MR/DMC,5,7,8,7,13,9,10,14,6,11,11,12,6,12,13,8,8,10,1,2,2,1,2
21832,#21832,Kırşehir Belediye Spor,,75,95,1645,DMC/MC/DC,12,7,6,5,11,8,11,10,8,12,9,8,12,13,7,8,13,9,2,2,1,2,1
21836,#21836,Nazilli Belediyespor,,75,75,3347,MC,8,7,5,7,13,7,11,13,8,12,2,10,8,10,9,14,6,9,2,1,1,1,1
21875,#21875,24Erzincanspor,,75,104,3403,MC/AMC/DMC,10,8,9,5,13,9,12,6,9,9,9,9,8,11,12,8,9,10,2,1,1,2,1
